taxon_oid,Add_Date,MG_ plate,Annotation_group,Genome Name / Sample Name,IMG Genome ID ,IMG Submission ID,ITS_PID,KO_count_both,Genome_size_assembl,KEGG_Count_assemb,cmd,path,code
3300004022,2/23/15,1,1,Browns_ThreeSqA_D1,3300004022,57727,1047887,2083253,716244860,431912,jamo fetch filtered spid 1047887 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.CGATGT.anqdp.fastq.gz,54b842980d8785565d47290f
3300003994,2/21/15,1,1,Browns_ThreeSqA_D2,3300003994,57725,1047896,2169808,716090180,438661,jamo fetch filtered spid 1047896 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.ACAGTG.anqdp.fastq.gz,54b83a350d8785565d4728f4
3300004025,2/24/15,1,1,Browns_ThreeSqB_D1,3300004025,57728,1047890,2228296,665907448,427949,jamo fetch filtered spid 1047890 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.TTAGGC.anqdp.fastq.gz,54b83a290d8785565d4728f3
3300004024,2/24/15,1,1,Browns_ThreeSqB_D2,3300004024,57730,1047899,2329275,807956169,483942,jamo fetch filtered spid 1047899 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.GCCAAT.anqdp.fastq.gz,54b83ea00d8785565d472903
3300005183,5/19/15,1,1,Browns_ThreeSqC_D1,3300005183,62347,1047893,5250665,1010031628,747391,jamo fetch filtered spid 1047893 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.TGACCA.anqdp.fastq.gz,54b842a20d8785565d472910
3300004009,2/22/15,1,1,Browns_ThreeSqC_D2,3300004009,57731,1047902,2532187,875603415,521605,jamo fetch filtered spid 1047902 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.CAGATC.anqdp.fastq.gz,54b842ad0d8785565d472911
3300003995,2/21/15,1,1,Browns_TuleA_D2,3300003995,57724,1047905,2186931,757498162,455838,jamo fetch filtered spid 1047905 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.GATCAG.anqdp.fastq.gz,54b83ea90d8785565d472904
3300004019,2/23/15,1,1,Browns_TuleB_D2,3300004019,57732,1047908,1863545,747725468,431712,jamo fetch filtered spid 1047908 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.TAGCTT.anqdp.fastq.gz,54b842b60d8785565d472912
3300004023,2/24/15,1,1,China_Bullhead_CordA_D2,3300004023,57733,1047914,2000005,704928689,400365,jamo fetch filtered spid 1047914 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.CTTGTA.anqdp.fastq.gz,54b842c00d8785565d472913
3300004029,2/24/15,1,1,China_Bullhead_CordB_D2,3300004029,57734,1047917,2755769,972333932,535195,jamo fetch filtered spid 1047917 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.AGTCAA.anqdp.fastq.gz,54b845520d8785565d472920
3300004026,2/24/15,1,1,China_Bullhead_CordC_D2,3300004026,57736,1047920,2436546,871143714,493243,jamo fetch filtered spid 1047920 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.AGTTCC.anqdp.fastq.gz,54b849c30d8785565d47292e
3300004030,2/24/15,1,1,China_Galinas_CordA_D2,3300004030,57742,1047923,3486405,1190347051,648009,jamo fetch filtered spid 1047923 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.ATGTCA.anqdp.fastq.gz,54b849d00d8785565d47292f
3300004008,2/22/15,1,1,China_Galinas_CordB_D2,3300004008,57738,1047929,2289524,828769977,460950,jamo fetch filtered spid 1047929 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GTAGAG.anqdp.fastq.gz,54b8455a0d8785565d472921
3300004028,2/24/15,1,1,China_Galinas_CordC_D2,3300004028,57743,1047932,2612867,972836442,536130,jamo fetch filtered spid 1047932 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GTCCGC.anqdp.fastq.gz,54b849db0d8785565d472930
